Farung Yuthithum,26.0
Tetsu Yamauchi,32.0
Yukari Kuzuya,23.0
Akira Takasaki,31.0
Sung-min Lee,20.0
Jiro Wang,21.0
Hwanhee,23.0
Jeon Hye-Bin,23.0
Elvin Ng,26.0
Margaret Lee (Singaporean actress),27.0
Nana Ozaki,23.0
My Tam,27.0
William Chan,25.0
Kim Jong-un,37.0
Joseph Yuan-Chang Cheng,20.0
Show Luo,21.0
Sammul Chan,27.0
Lee Pa-ni,22.0
Lisa Kudô,23.0
Kim Sung-soo,34.0
Miyako Miyazaki,29.0
Megumi Kawamura,25.0
Tanya Chua,22.0
Debbie Wong,26.0
Jun Jin,26.0
Parinya Charoenphol,26.0
Shin Hye Sung,22.0
Minori Aoi,19.0
Ami Ayukawa,24.0
Hiroko Shimabukuro,23.0
Marina Matsushima,28.0
Ock Joo-hyun,28.0
Shoko Goto,21.0
Tang Jiali,27.0
Hikaru Koto,21.0
Liza Wang,29.0
Reina Tanaka,19.0
U-Know,21.0
Lee Sa-bi,23.0
Pol Pot,48.0
Philip Lee,26.0
Min-hee Kim,23.0
Chang-min Son,36.0
Ali Wong,24.0
Rene Gube,33.0
Jessica Lizama,25.0
Jake Choi,22.0
Lene Lai,22.0
Ji-ah Lee,23.0
Jayson Li,39.0
Natalie Tran,26.0
Soo-bin Bae,30.0
Jackie Lin,30.0
Koyuki Kato,24.0
Sae Miyazawa,23.0
Rezky Aditya,25.0
Osamu Mukai,20.0
Yoo-jung Kim,21.0
Audrey Vizcarra,25.0
Jharna Thapa,32.0
Yusuke Yamamoto,21.0
Eun-jeong Ham,21.0
Mayura Hoshizuki,20.0
Roy Chiu,27.0
Hawick Lau,25.0
Mikie Hara,21.0
Sang-Yoon Lee,27.0
Rena Nônen,19.0
Aimee Chan,27.0
Ana Abad Santos,33.0
Rose Chan,23.0
Zhu Zhu,27.0
Chantavit Dhanasevi,27.0
Iko Uwais,22.0
Flora Chong-Leen,33.0
Kit Chan,25.0
Michelle Chong,27.0
Kono Kalakaua,26.0
Thia Megia,23.0
Su Yung,29.0
G.B. Sampedro,32.0
Kitkat,27.0
Jefferson Niño Lim,32.0
Young-won Min,23.0
Si-young Lee,24.0
Miku Ueno,19.0
Etsuko Yawata,18.0
Yumi Egawa,20.0
Peng Lin,26.0
Jing Lusi,26.0
Jeong-eum Hwang,22.0
Mika Yabe,19.0
Kei Marimura,35.0
Sylvia Ratonel,23.0
Hye-yeong Lee,32.0
Lance Ito,45.0
EJ Muscat,25.0
Chadleen Lacdo-o,28.0
Miko Samson,24.0
Monica Mok,26.0
Soo-hyun Hong,23.0
Gian Carlos,22.0
Bryan Revilla,27.0
Theresa June-Tao,25.0
Tsuyoshi Takashiro,36.0
Akiko Suzuki,23.0
Xue Shen,29.0
Yuko Kawaguchi,21.0
Benjamin Alves,24.0
Ha-seon Park,25.0
Melai Cantiveros,24.0
Ho-bin Jeong,37.0
Ha-yoon Song,23.0
Minnie Aguilar,34.0
Cynthia Koh,25.0
Atsuki Ueda,26.0
Miko Yani,26.0
Danny Ting,36.0
Inoue Mao,20.0
Ye Li,22.0
Megan Lee,18.0
Hong Chau,26.0
Haley Tju,15.0
Laura Ling,26.0
Margaret Tu Chuan,26.0
Arisa Mizuki,27.0
Mavis Fan,23.0
Meiko Kaji,29.0
Mike Chang,28.0
Asuka Kondoh,22.0
Judy Ho,25.0
Claudia Kim,23.0
Tian Yi,24.0
John Medina,27.0
Dr. Cristina Yang,34.0
Lang Lang,25.0
Raquel Villavicencio,43.0
Ryuichi Sakamoto,55.0
Yuka Sato,30.0
Jordan Dang,14.0
Dominic Zapata,32.0
Alexandra Fong,6.0
Cho Chang,21.0
Beauty Gonzalez,26.0
Tess Antonio,27.0
London Tipton,23.0
Demi Jessica,25.0
Sandy Talag,17.0
Susan Dumagan,24.0
Phillip Lim,33.0
P’Gao Natdanai Reungkitthiya,30.0
Kazuki Nakajima,24.0
Amelia Elcar,18.0
Tsuguharu Fujita,51.0
Konrad Ng,24.0
Lisa Ono,32.0
Robert Ho,28.0
Sharina Gutierrez,20.0
Rebecca Tan,25.0
Du Juan,24.0
Anne Watanabe,23.0
Chiaki Morita,23.0
Carol Lin,37.0
George Hu,27.0
Andrea Jung,36.0
Akio Morita,70.0
Yuu Kashii,23.0
Maya Lin,27.0
Witwisit Hiranyawongkul,18.0
Amy Okuda,25.0
Sara Nguyen,27.0
Tina Huang,30.0
Catherine Haena Kim,27.0
Mariko Kawana,31.0
Michelle Yi,25.0
Elanne Kwong,20.0
Eda Nolan,22.0
Kii Kitano,23.0
Victor Basa,24.0
Nao Matsushita,25.0
Jimmy Lin,21.0
Fala Chen,22.0
Ji-hun Ju,23.0
Bosco Wong,29.0
Ai Cherie,21.0
Seok-jin Ha,23.0
Sun Fei Fei,23.0
Kate Tsui,25.0
Eri Kikuchi,25.0
Gina Choe,24.0
Ah-sung Ko,19.0
Nyomi Zen,29.0
Manami Yoshii,21.0
Shôta Matsuda,20.0
Ji Sung Park,26.0
Nathan Lopez,18.0
Telly Leung,21.0
Jayson Gainza,32.0
Atsushi Sakurai,29.0
Saaya,22.0
Ok-bin Kim,20.0
Ye-ryeon Cha,24.0
Chin Han,31.0
Dan Chupong,30.0
Trina Legaspi,21.0
Ai Kurosawa,19.0
Xin-zhe Zhang,31.0
Patricia Lam Fung,25.0
Thanh Van Ngo,26.0
Diana Chang Chung Wen,29.0
Sakurako Kaoru,19.0
Yû Yamada,25.0
Hao Chen,26.0
Leili Koshi,24.0
Allenina W.,29.0
Tavia Yeung,33.0
Mi-ri Gyeon,27.0
Ji-hye Han,24.0
Charlie Trairat,19.0
Dong-won Kang,22.0
Mamoru Miyano,23.0
So-yeon Lee,26.0
Alec Su,29.0
Maye Choo,26.0
Han-byeol Park,22.0
Risa Niigaki,22.0
Seo-hyeong Kim,33.0
Hye-jeong Kang,22.0
Raymond Lam,31.0
Miyuki Kanbe,29.0
Haruka Umeda,23.0
Haruka Umeda,20.0
Marife Necesito,31.0
Randall Park,30.0
Hannah Wang,25.0
Philip Ng,31.0
Bo-lin Chen,23.0
Dechen Wangdu,24.0
Hiroki Narimiya,28.0
Seon-a Kim,30.0
Rachel Maryam Sayidina,25.0
Na-yeong Lee,21.0
Emi Suzuki,24.0
Ivy Lee,25.0
Jon Chu,32.0
Natsuki Okamoto,23.0
Luana Strode,39.0
Niki Chow,26.0
Cung Le,27.0
Yumika Hayashi,21.0
Myolie Wu,22.0
Connie Chan,23.0
Hiroshi Tamaki,26.0
Mi-seon Jeon,28.0
Mi-suk Lee,39.0
Yun-ah Song,23.0
Anza Oyama,22.0
Anza Oyama,27.0
Ellen Cho,26.0
Sheila Majid,28.0
Ji-tae Yu,30.0
Jacky Wu,34.0
Carter Wong,42.0
Monique Wilson,37.0
Greg Watanabe,33.0
Dave Wong,32.0
Manu Tupou,45.0
Ming Tsai,39.0
Tram-Anh Tran,25.0
Win Min Than,21.0
Yumi Takigawa,23.0
Aya Takanashi,26.0
Hitomi Takahashi,21.0
Saki St. Jermaine,36.0
Hyeon-jun Shin,34.0
Ha-kyun Shin,29.0
Eihi Shiina,24.0
Kien Shih,53.0
Kei Satô,52.0
Rey-Phillip Santos,32.0
Jade Ryusaki,21.0
Bembol Roco,53.0
James Pax,32.0
Machiko Ono,26.0
Judy Ongg,39.0
Andy On,30.0
Geeling Ng,34.0
Napakpapha Nakprasitte,19.0
Masako Natsume,24.0
Shinobu Nakayama,23.0
Masahiro Motoki,29.0
K.K. Moggie,29.0
Kumi Mizuno,26.0
Shigeru Miyamoto,42.0
Nobu McCarthy,26.0
Eiko Matsuda,26.0
Tessa Ludwick,22.0
Ivy Ling Po,26.0
Pik Sen Lim,52.0
Li Ching,26.0
Bruce Li,30.0
Jade Leung,30.0
Jung-Jae Lee,34.0
Joo Min Lee,27.0
Hitomi Kuroki,31.0
Komaki Kurihara,23.0
Shô Kosugi,53.0
Yuri Komuro,24.0
Hideo Kojima,30.0
Kyôko Koizumi,35.0
Jong-Il Kim,49.0
Denise Joaquin,21.0
Dan Inosanto,58.0
Li Hua Li,29.0
Setsuko Hara,30.0
Helen Funai,30.0
Joseph Estrada,45.0
Dennis Dun,45.0
Lin Dai,28.0
Deborah S. Craig,27.0
Jin-shil Choi,30.0
Pei-Pei Cheng,23.0
Kevin Cheng,32.0
Adam Cheng,40.0
Carlotta Chang,29.0
Moses Chan,34.0
Danny Chan Bak-Keung,33.0
June Angela,28.0
Yûki Amami,27.0
Li Ming,30.0
Nan Zhang,25.0
Ronald Lee Clark,33.0
Benedict Wong,40.0
Akira Toriyama,33.0
Philip Moon,33.0
Sei Ashina,23.0
Doan Ly,26.0
Allen Evangelista,25.0
Shawn Yue,24.0
Kea Wong,25.0
Beulah Quo,47.0
Peter Pan,59.0
Jeff Imada,32.0
Kenneth Choi,32.0
Kim Chan,70.0
Philip Ahn,45.0
Towa Tei,23.0
Anh Do,36.0
Jo Sung Mo,23.0
Fiona Fung,22.0
Sôsuke Takaoka,21.0
Sherman Chung,20.0
Sab Shimono,62.0
Richard Loo,51.0
Mai Ling,22.0
Hiro Kanagawa,41.0
Sachiko Yoshimine,42.0
Sachiko Yoshimine,31.0
Zang Manlo,22.0
Winston Chao,38.0
Winai Kraibutr,31.0
Victor Sen Yung,32.0
Susie Park,26.0
Sinitta Boonyasak,25.0
Shizuko Hoshi,35.0
Shinobu Terajima,28.0
Ryo Kase,24.0
Minae Noji,28.0
Michael Paul Chan,52.0
Michael Chow,55.0
Makiko Esumi,31.0
Linda Kim,27.0
