name,real_age,faceapi_age,dif
Arielle Vandenberg,33,33,0
Katrina Bowden,31,27,-4
Mia Wasikowska,30,32,2
Saoirse Ronan,25,20,-5
Jack O'Connell,29,25,-4
Jonathan Groff,34,26,-8
Katie Lee,38,31,-7
Robbie Amell,31,27,-4
Bailee Madison,20,21,1
Imogen Poots,30,25,-5
Katy Mixon,38,32,-6
Ariel Winter,21,22,1
Krysten Ritter,38,27,-11
Benedict Cumberbatch,43,45,2
Sasha Pieterse,23,24,1
Juno Temple,30,26,-4
Joe Manganiello,43,39,-4
Jean Kasem,64,34,-30
Craig Horner,36,32,-4
Stephanie Courtney,49,32,-17
Jeffree Star,34,31,-3
Don Moen,69,49,-20
David Guetta,52,37,-15
Tiësto,50,36,-14
Bindi Irwin,21,21,0
Jesse Lee Soffer,35,30,-5
Dominic Cooper,41,32,-9
Jessica Stroup,33,31,-2
Bree Olson,33,26,-7
Roger Taylor,70,29,-41
Eddie Redmayne,37,26,-11
Maiara Walsh,31,30,-1
Agyness Deyn,36,25,-11
Colbie Caillat,34,34,0
C.M. Punk,41,37,-4
Briana Evigan,33,32,-1
Whitney Port,34,28,-6
Vicki LaMotta,14,44,30
Jerry Trainor,42,32,-10
Cora Skinner,34,29,-5
Harvey Levin,69,48,-21
Abbey Clancy,33,29,-4
Uschi Obermaier,73,23,-50
Charlie Rose,77,60,-17
Richard Armitage,48,40,-8
Martin Rabbett,30,32,2
Tamara Ecclestone,35,30,-5
Mark Ballas,33,30,-3
Cassandra Scerbo,29,27,-2
Jim Sturgess,41,31,-10
Luke Macfarlane,39,29,-10
Juliet Huddy,50,36,-14
Whitney Cummings,37,36,-1
Steve Perry,70,43,-27
Shenae Grimes-Beech,30,26,-4
Randi Oakes,68,34,-34
Phyllis Davis,6,35,29
Natalie Dormer,37,25,-12
Nancy Kovack,84,33,-51
M. Shadows,38,28,-10
Margarita Levieva,39,29,-10
Margaret Nolan,76,24,-52
Louis C.K.,52,46,-6
Lorena Rojas,4,34,30
Lauren Cohan,37,30,-7
Julie Michaels,15,33,18
Julie K. Smith,52,32,-20
JoAnna Cameron,68,28,-40
Jillian Michaels,45,37,-8
Jessica Chastain,42,33,-9
Jennifer Taylor,47,33,-14
Jean-Luc Bilodeau,29,30,1
Jana Kramer,36,33,-3
Jaimie Alexander,35,32,-3
Izzy Stradlin,57,27,-30
Ingrid Chauvin,46,36,-10
Iker Casillas,38,32,-6
Giorgia Palmas,37,26,-11
Genevieve Padalecki,38,27,-11
Felicia Day,40,34,-6
Eva Ionesco,54,42,-12
Connie Hines,10,30,20
Cam Gigandet,37,34,-3
Beth Phoenix,39,32,-7
Belinda,30,29,-1
Beau Mirchoff,30,25,-5
Barbara Schöneberger,45,38,-7
Barbara Rhoades,73,48,-25
Aneta Corsaut,24,30,6
Amanda Crew,33,33,0
Aimee Teegarden,30,28,-2
Zach Roerig,34,31,-3
Thomas Brodie-Sangster,29,21,-8
Taylor Kinney,38,32,-6
Tamsin Egerton,31,28,-3
Shaun Evans,39,34,-5
Sharon den Adel,45,35,-10
Robert Hoffman,39,29,-10
Rachael Taylor,35,32,-3
