name,real_age,faceapi_age,dif
Chito Miranda,43,29,-14
Jay-R,38,23,-15
Shengyi Huang,36,22,-14
Drew Arellano,39,29,-10
Denise Laurel,32,26,-6
Nash Aguas,21,18,-3
Yifei Liu,32,24,-8
Soo Ae,40,22,-18
Bernadette Sembrano,43,34,-9
Bingbing Fan,38,25,-13
Lena Yada,41,28,-13
Tae-hee Kim,39,27,-12
Jane Oineza,23,25,2
Geun-young Moon,32,20,-12
Tomohisa Yamashita,34,19,-15
Agnez Mo,33,20,-13
Roxanne Barcelo,34,23,-11
Krista Ranillo,35,26,-9
Ye-jin Son,37,24,-13
Hyun-joo Kim,42,25,-17
Min-a Shin,35,25,-10
Sang-Woo Kwon,43,27,-16
Seo-jin Lee,48,31,-17
Alma Moreno,60,37,-23
Rae-won Kim,38,24,-14
Woo-sung Jung,46,29,-17
Jin-mo Ju,45,29,-16
Kumiko Goto,45,27,-18
Mylene Dizon,45,31,-14
Yui Ichikawa,33,21,-12
Tetchie Agbayani,58,37,-21
Joon-Gi Lee,37,23,-14
Mariqueen Maandig,38,26,-12
Yuna Ito,36,23,-13
Irene Tsu,75,27,-48
Syren,48,27,-21
Manny Pacquiao,41,33,-8
Jiro Manio,27,17,-10
Doona Bae,40,24,-16
Saki Seto,34,25,-9
Hye-su Kim,49,26,-23
Ji-hyun Jun,38,23,-15
Rika Ishikawa,34,20,-14
Jason Scott Lee,53,28,-25
Sophie Oda,28,26,-2
May Pang,69,32,-37
Aubrey Miles,39,32,-7
Michelle Krusiec,45,26,-19
Linda Park,41,25,-16
Chiaki Kuriyama,35,21,-14
Siti Nurhaliza,40,26,-14
Aoi Miyazaki,34,22,-12
Anita Mui,16,27,11
Vanness Wu,41,31,-10
Tamao Satô,45,21,-24
Rosamund Kwan,57,33,-24
Rie Miyazawa,46,23,-23
Rena Tanaka,39,23,-16
Noriko Sakai,48,25,-23
Michiko Nishiwaki,62,33,-29
Katya Santos,37,28,-9
Hee-seon Kim,43,23,-20
Christy Chung,49,31,-18
Ji-Woo Choi,44,27,-17
Bingbing Li,46,28,-18
Aiko Tanaka,20,27,7
Daniel Wu,45,35,-10
Sammo Kam-Bo Hung,67,38,-29
Aaron Kwok,54,28,-26
Ogie Alcasid,52,31,-21
Yong-jun Bae,47,28,-19
Nicholas Tse,39,25,-14
John Cho,47,33,-14
Teanna Kai,48,28,-20
Sakura Sena,44,24,-20
Felicia Tang,10,26,16
Koyuki,43,24,-19
Anna May Wong,58,31,-27
Joyce Jimenez,41,31,-10
Wendi Murdoch,51,35,-16
Vilma Santos,66,27,-39
Vera Wang,70,40,-30
Ryôko Hirosue,39,21,-18
Namie Amuro,42,23,-19
Maggie Cheung,55,30,-25
Leyna Nguyen,50,34,-16
Julie Chen,49,34,-15
Joan Chen,58,34,-24
Annie Cruz,35,24,-11
Mimi Miyagi,46,26,-20
Annabel Chong,47,22,-25
Daniel Dae Kim,51,40,-11
Stephen Chow,57,37,-20
Soon-Yi Previn,49,29,-20
Qiuyan Huang,39,27,-12
Margaret Cho,51,25,-26
Feng-Jiao Lin,66,40,-26
Connie Chung,73,39,-34
Yun-Fat Chow,64,39,-25
Levy Tran,36,24,-12
Sui He,30,25,-5
Kanna Hashimoto,20,19,-1
Sulli Choi,25,22,-3
Eun-ji Jung,26,21,-5
Yeon Woo-jin,35,20,-15
Hyun-Woo Ji,35,25,-10
Iu,26,19,-7
Jong-Suk Lee,30,23,-7
Azusa Togashi,29,22,-7
Ming Xi,30,20,-10
Kasumi Arimura,26,20,-6
Neil Coleta,28,24,-4
In-hwa Jeon,54,32,-22
Kwang-ryul Jun,59,42,-17
Minho Choi,28,21,-7
Nurul Elfira Loy,25,23,-2
Shi-Yoon Yoon,33,20,-13
Min-woo No,33,19,-14
Krystal Jung,25,22,-3
Bom Park,35,23,-12
Young-bae Dong,31,19,-12
Taeyeon,30,20,-10
Erina Mano,28,19,-9
Se-Kyung Shin,29,21,-8
Dong-hae Lee,33,23,-10
Nichkhun,31,18,-13
Psy,42,36,-6
Jae-Joong Kim,33,24,-9
Mutya Orquia,13,5,-8
Yoo-chun Park,33,23,-10
Sang-wook Joo,41,30,-11
Chise Nakamura,33,18,-15
Sang-woo Lee,39,25,-14
Xyriel Manabat,15,4,-11
Aria Clemente,24,20,-4
Jamie Rivera,53,30,-23
Wynwyn Marquez,27,26,-1
Min-Jung Lee,37,24,-13
Nozomi Takeuchi,39,25,-14
Kaoru Yumi,69,25,-44
Yumi Sugimoto,30,21,-9
JC Tiuseco,34,26,-8
Shiori Kanzaki,32,20,-12
Takeru Satoh,30,25,-5
Dominic Roco,30,27,-3
Carl Guevara,31,19,-12
Bugoy Cariño,17,7,-10
Johan Santos,32,22,-10
Rico J. Puno,1,45,44
Diana Bang,38,26,-12
Hana Mae Lee,4,25,21
Arron Villaflor,29,19,-10
Francis Magundayao,20,11,-9
Zaijian Jaranilla,18,9,-9
Osric Chau,33,22,-11
RR Enriquez,34,27,-7
Liu Wen,31,29,-2
Rich Asuncion,30,26,-4
Alexie Phillips,42,20,-22
Elita Loresca,42,32,-10
Joseph Bitangcol,35,26,-9
Marky Cielo,11,23,12
Sheena Sakai,16,26,10
Tanya Garcia,38,29,-9
Yôko Kumada,37,22,-15
A-Mei,47,22,-25
Brandon Soo Hoo,24,17,-7
Wakana Matsumoto,35,23,-12
Nam-gil Kim,38,27,-11
Si-yeon Park,40,22,-18
Iwa Moto,31,23,-8
Xiaoming Huang,42,29,-13
Dong-Wook Lee,38,24,-14
Joshua Dionisio,25,17,-8
Ken'ichi Matsuyama,34,21,-13
Mitsuki Tanimura,29,25,-4
CJ Navato,23,24,1
Shelby Rabara,36,29,-7
Sharlene San Pedro,20,16,-4
Ji-hun Lee,40,28,-12
Soo Go,41,26,-15
Bo-young Lee,40,26,-14
Ayumi Kinoshita,37,21,-16
Ji-min Han,37,23,-14
Jin Ryu,47,29,-18
So-yi Yoon,34,24,-10
Rina Akiyama,34,25,-9
Jae-won Kim,38,25,-13
Sang-mi Nam,35,25,-10
Juri Ueno,33,23,-10
Ji-Hyo Song,38,23,-15
Sa-rang Kim,41,21,-20
Paolo Bediones,45,36,-9
Seong Ji,42,28,-14
Bernice Liu,40,26,-14
Jenny Miller,39,28,-11
Randy Santiago,59,33,-26
Willie Revillame,58,39,-19
In-sung Jo,38,28,-10
Chynna Ortaleza,37,27,-10
Dong-geon Lee,39,24,-15
Geneva Cruz,43,31,-12
Jeong-eun Kim,43,25,-18
Dian Sastrowardoyo,37,24,-13
Jin-hee Ji,48,28,-20
Tania Gunadi,36,22,-14
Hyuk Jang,43,30,-13
Dolphy,7,55,48
Betty Ting Pei,72,29,-43
Cherry Pie Picache,49,35,-14
Lynne Sue Moon,70,14,-56
Ha-neul Kim,41,23,-18
Ken Jeong,50,39,-11
Tonton Gutierrez,55,36,-19
Hyeon-jae Jo,39,29,-10
Eriko Tamura,46,29,-17
